mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,exifData,favorite,mediaComments
5mp_010421_17_40_31_971081,,timeLapse,2021-04-01T17:40:32+02:00,media/5mp_010421_17_40_31_971081.jpg,True,5mp_010421_17_40_31_971081.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:40:32"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:40:32"", ""DateTimeDigitized"": ""2021:04:01 17:40:32"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_40_33_481011,,timeLapse,2021-04-01T17:40:34+02:00,media/5mp_010421_17_40_33_481011.jpg,True,5mp_010421_17_40_33_481011.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:40:34"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:40:34"", ""DateTimeDigitized"": ""2021:04:01 17:40:34"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_40_36_033661,,timeLapse,2021-04-01T17:40:36+02:00,media/5mp_010421_17_40_36_033661.jpg,True,5mp_010421_17_40_36_033661.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:40:36"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:40:36"", ""DateTimeDigitized"": ""2021:04:01 17:40:36"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_40_37_226677,,timeLapse,2021-04-01T17:40:37+02:00,media/5mp_010421_17_40_37_226677.jpg,True,5mp_010421_17_40_37_226677.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:40:37"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:40:37"", ""DateTimeDigitized"": ""2021:04:01 17:40:37"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_17_40_43_536728,,timeLapse,2021-04-01T17:40:44+02:00,media/5mp_010421_17_40_43_536728.jpg,True,5mp_010421_17_40_43_536728.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 17:40:44"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 17:40:44"", ""DateTimeDigitized"": ""2021:04:01 17:40:44"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_18_03_44_079895,,timeLapse,2021-04-01T18:03:44+02:00,media/5mp_010421_18_03_44_079895.jpg,True,5mp_010421_18_03_44_079895.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 18:03:44"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 18:03:44"", ""DateTimeDigitized"": ""2021:04:01 18:03:44"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_18_32_47_571194,,timeLapse,2021-04-01T18:32:48+02:00,media/5mp_010421_18_32_47_571194.jpg,True,5mp_010421_18_32_47_571194.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 18:32:48"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 18:32:48"", ""DateTimeDigitized"": ""2021:04:01 18:32:48"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 640, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_19_14_45_472869,,timeLapse,2021-04-01T19:14:46+02:00,media/5mp_010421_19_14_45_472869.jpg,True,5mp_010421_19_14_45_472869.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 19:14:46"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 19:14:46"", ""DateTimeDigitized"": ""2021:04:01 19:14:46"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 250, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_19_37_13_765713,,timeLapse,2021-04-01T19:37:14+02:00,media/5mp_010421_19_37_13_765713.jpg,True,5mp_010421_19_37_13_765713.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 19:37:14"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 19:37:14"", ""DateTimeDigitized"": ""2021:04:01 19:37:14"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
5mp_010421_19_37_17_497836,,timeLapse,2021-04-01T19:37:18+02:00,media/5mp_010421_19_37_17_497836.jpg,True,5mp_010421_19_37_17_497836.jpg,image/jpeg,"{""ImageWidth"": 1280, ""ImageLength"": 960, ""ResolutionUnit"": 2, ""ExifOffset"": 192, ""Make"": ""RaspberryPi"", ""Model"": ""RP_ov5647"", ""DateTime"": ""2021:04:01 19:37:18"", ""YCbCrPositioning"": 1, ""DateTimeOriginal"": ""2021:04:01 19:37:18"", ""DateTimeDigitized"": ""2021:04:01 19:37:18"", ""MeteringMode"": 2, ""Flash"": 0, ""ColorSpace"": 1, ""ExifImageWidth"": 1280, ""ExifInteroperabilityOffset"": 908, ""ExifImageHeight"": 960, ""ExposureProgram"": 3, ""ISOSpeedRatings"": 320, ""ExposureMode"": 0, ""WhiteBalance"": 0}",,
